NAME_1,作付面積（ha）,10a当たり収量(kg),収穫量(t),出荷量(t)
Aichi,260,"3,990","10,400","9,850"
Akita,0,0,0,0
Aomori,87,"1,440","1,250","1,050"
Chiba,215,"2,940","6,320","5,970"
Ehime,76,"3,250","2,470","2,250"
Fukui,0,0,0,0
Fukuoka,435,"3,780","16,400","15,600"
Fukushima,107,"2,110","2,260","2,000"
Gifu,112,"2,470","2,770","2,210"
Gunma,97,"2,630","2,550","2,400"
Hiroshima,0,0,0,0
Hokkaido,101,"1,860","1,880","1,760"
Hyogo,162,"1,030","1,670","1,060"
Ibaraki,235,"3,740","8,790","8,420"
Ishikawa,0,0,0,0
Iwate,0,0,0,0
Kagawa,85,"3,700","3,150","2,970"
Kagoshima,0,0,0,0
Kanagawa,0,0,0,0
Kochi,0,0,0,0
Kumamoto,305,"4,000","12,200","11,500"
Kyoto,0,0,0,0
Mie,69,"2,610","1,800","1,680"
Miyagi,131,"3,540","4,640","4,250"
Miyazaki,72,"3,470","2,500","2,350"
Nagano,0,0,0,0
Naoasaki,268,"3,930","10,500","10,100"
Nara,101,"2,270","2,290","2,090"
Niigata,97,"1,340","1,300","1,150"
Oita,0,0,0,0
Okayama,0,0,0,0
Okinawa,0,0,0,0
Osaka,0,0,0,0
Saga,175,"4,320","7,560","6,920"
Saitama,97,"3,180","3,080","2,760"
Shiga,0,0,0,0
Shimane,0,0,0,0
Shizuoka,292,"3,570","10,400","9,720"
Tochigi,518,"4,380","22,700","21,300"
Tokushima,0,0,0,0
Tokyo,0,0,0,0
Tottori,0,0,0,0
Toyama,0,0,0,0
Wakayama,0,0,0,0
Yamagata,0,0,0,0
Yamaguchi,101,"2,270","2,290","1,900"
Yamanashi,0,0,0,0
